opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,series,sales_price,sector,year_established,revenue,employees,office_location,subsidiary_of,manager,regional_office
XYBPUC2H,Moses Frase,GTX Basic,Hottechi,Lost,2017-02-13,2017-05-16,0.0,GTX,550.0,technology,1997.0,8170.38,16499.0,South Korea,,Dustin Brinkmann,Central
CVKLHZEO,Moses Frase,GTX Basic,Genco Pura Olive Oil Company,Won,2017-02-15,2017-05-13,455.0,GTX,550.0,retail,2007.0,894.33,1635.0,Italy,,Dustin Brinkmann,Central
2QHRL8CW,Moses Frase,GTX Basic,Stanredtax,Won,2017-02-19,2017-05-28,404.0,GTX,550.0,finance,1987.0,1698.2,3798.0,United States,,Dustin Brinkmann,Central
XGLMCTLG,Moses Frase,GTX Basic,Rundofase,Won,2017-02-21,2017-06-18,551.0,GTX,550.0,technology,1983.0,1008.06,1238.0,United States,,Dustin Brinkmann,Central
QKVUGRN9,Moses Frase,GTX Plus Basic,Rangreen,Lost,2017-02-22,2017-05-30,0.0,GTX,1096.0,technology,1987.0,2938.67,8775.0,Panama,,Dustin Brinkmann,Central
FNY6F0KF,Moses Frase,MG Special,Statholdings,Won,2017-02-22,2017-05-15,58.0,MG,55.0,employment,1997.0,291.27,586.0,United States,,Dustin Brinkmann,Central
M2TZSYTN,Moses Frase,GTX Basic,Bioholding,Won,2017-02-23,2017-06-16,516.0,GTX,550.0,medical,2012.0,587.34,1356.0,Philippines,,Dustin Brinkmann,Central
KGJL5GHX,Moses Frase,GTX Plus Basic,Condax,Won,2017-02-23,2017-06-06,956.0,GTX,1096.0,medical,2017.0,4.54,9.0,United States,,Dustin Brinkmann,Central
IF7DSONM,Moses Frase,MG Special,Stanredtax,Won,2017-02-23,2017-03-15,52.0,MG,55.0,finance,1987.0,1698.2,3798.0,United States,,Dustin Brinkmann,Central
RR4FWSVB,Moses Frase,MG Advanced,Toughzap,Won,2017-02-23,2017-05-11,3025.0,MG,3393.0,retail,1995.0,332.43,799.0,United States,,Dustin Brinkmann,Central
ZCA1IRGD,Moses Frase,MG Advanced,Warephase,Won,2017-02-24,2017-05-06,3063.0,MG,3393.0,services,1997.0,2041.73,5276.0,United States,,Dustin Brinkmann,Central
GBMHNLRO,Moses Frase,GTX Basic,Dontechi,Won,2017-02-26,2017-03-15,660.0,GTX,550.0,software,1982.0,4618.0,10083.0,United States,,Dustin Brinkmann,Central
NAVG0P26,Moses Frase,GTX Basic,Rundofase,Won,2017-02-26,2017-05-26,443.0,GTX,550.0,technology,1983.0,1008.06,1238.0,United States,,Dustin Brinkmann,Central
PDH2NPE1,Moses Frase,MG Advanced,Codehow,Won,2017-02-27,2017-06-28,4109.0,MG,3393.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,Dustin Brinkmann,Central
PCRRS6JP,Moses Frase,MG Special,Genco Pura Olive Oil Company,Lost,2017-02-28,2017-05-28,0.0,MG,55.0,retail,2007.0,894.33,1635.0,Italy,,Dustin Brinkmann,Central
W03CXYET,Moses Frase,GTX Basic,Streethex,Won,2017-03-01,2017-06-17,465.0,GTX,550.0,retail,1988.0,1376.8,1165.0,Belgium,,Dustin Brinkmann,Central
LZVFFQLN,Moses Frase,MG Special,Konmatfix,Won,2017-03-01,2017-06-14,50.0,MG,55.0,marketing,1985.0,375.43,1190.0,United States,,Dustin Brinkmann,Central
8L1ZHTPL,Moses Frase,GTX Plus Basic,Globex Corporation,Won,2017-03-03,2017-06-01,1020.0,GTX,1096.0,technology,2000.0,1223.72,2497.0,Norway,,Dustin Brinkmann,Central
WSPBQ5YR,Moses Frase,MG Advanced,dambase,Won,2017-03-06,2017-06-09,3714.0,MG,3393.0,marketing,1995.0,2173.98,2928.0,United States,Inity,Dustin Brinkmann,Central
HDUV7VJN,Moses Frase,GTX Plus Pro,Toughzap,Won,2017-03-07,2017-03-13,6805.0,GTX,5482.0,retail,1995.0,332.43,799.0,United States,,Dustin Brinkmann,Central
KEF5O2Q6,Moses Frase,GTX Basic,Betatech,Lost,2017-03-08,2017-06-26,0.0,GTX,550.0,medical,1986.0,647.18,1185.0,Kenya,,Dustin Brinkmann,Central
HZU0L5GS,Moses Frase,MG Advanced,Konmatfix,Won,2017-03-11,2017-06-04,3330.0,MG,3393.0,marketing,1985.0,375.43,1190.0,United States,,Dustin Brinkmann,Central
JV1NCDKP,Moses Frase,MG Special,Isdom,Won,2017-03-13,2017-05-11,57.0,MG,55.0,medical,2002.0,3178.24,4540.0,United States,,Dustin Brinkmann,Central
Z8RI8RLU,Moses Frase,GTX Basic,Streethex,Won,2017-03-14,2017-06-03,502.0,GTX,550.0,retail,1988.0,1376.8,1165.0,Belgium,,Dustin Brinkmann,Central
FT0L8HZZ,Moses Frase,MG Advanced,Isdom,Won,2017-03-14,2017-03-16,3323.0,MG,3393.0,medical,2002.0,3178.24,4540.0,United States,,Dustin Brinkmann,Central
IGELOJ42,Moses Frase,GTX Plus Pro,Cancity,Won,2017-03-15,2017-06-03,6102.0,GTX,5482.0,retail,2001.0,718.62,2448.0,United States,,Dustin Brinkmann,Central
I7AH5FW0,Moses Frase,GTX Basic,dambase,Lost,2017-03-16,2017-05-23,0.0,GTX,550.0,marketing,1995.0,2173.98,2928.0,United States,Inity,Dustin Brinkmann,Central
RSFYKC1F,Moses Frase,GTX Basic,Betatech,Won,2017-03-16,2017-06-25,619.0,GTX,550.0,medical,1986.0,647.18,1185.0,Kenya,,Dustin Brinkmann,Central
CDUIUYY2,Moses Frase,MG Advanced,Finhigh,Won,2017-03-18,2017-06-11,3619.0,MG,3393.0,finance,2006.0,1102.43,1759.0,United States,,Dustin Brinkmann,Central
SNBYNW8H,Moses Frase,MG Advanced,Rangreen,Won,2017-03-19,2017-06-23,3657.0,MG,3393.0,technology,1987.0,2938.67,8775.0,Panama,,Dustin Brinkmann,Central
K96NUCWR,Moses Frase,GTX Basic,Dontechi,Lost,2017-03-23,2017-04-01,0.0,GTX,550.0,software,1982.0,4618.0,10083.0,United States,,Dustin Brinkmann,Central
OSB9S3PI,Moses Frase,MG Special,Zumgoity,Lost,2017-03-24,2017-05-23,0.0,MG,55.0,medical,1984.0,441.08,1210.0,United States,,Dustin Brinkmann,Central
JWRSTAU8,Moses Frase,GTX Basic,Ron-tech,Won,2017-03-24,2017-06-12,503.0,GTX,550.0,medical,1992.0,3922.42,6837.0,United States,,Dustin Brinkmann,Central
MJBD6V39,Moses Frase,MG Special,Conecom,Lost,2017-03-27,2017-05-01,0.0,MG,55.0,technology,2005.0,1520.66,1806.0,United States,,Dustin Brinkmann,Central
5G645WYV,Moses Frase,GTX Plus Pro,Bioholding,Won,2017-03-28,2017-04-07,5447.0,GTX,5482.0,medical,2012.0,587.34,1356.0,Philippines,,Dustin Brinkmann,Central
8FXUNDUS,Moses Frase,MG Advanced,Hottechi,Won,2017-03-29,2017-05-26,3982.0,MG,3393.0,technology,1997.0,8170.38,16499.0,South Korea,,Dustin Brinkmann,Central
8TXOC3S3,Moses Frase,MG Advanced,Scottech,Lost,2017-03-30,2017-04-11,0.0,MG,3393.0,marketing,2012.0,45.39,100.0,United States,Inity,Dustin Brinkmann,Central
N55VF08D,Moses Frase,MG Special,Finhigh,Won,2017-03-30,2017-05-20,54.0,MG,55.0,finance,2006.0,1102.43,1759.0,United States,,Dustin Brinkmann,Central
A89TBOY5,Moses Frase,MG Advanced,Bioholding,Lost,2017-04-01,2017-04-06,0.0,MG,3393.0,medical,2012.0,587.34,1356.0,Philippines,,Dustin Brinkmann,Central
KG61YJ92,Moses Frase,GTX Basic,Warephase,Won,2017-04-06,2017-06-24,575.0,GTX,550.0,services,1997.0,2041.73,5276.0,United States,,Dustin Brinkmann,Central
Z4A1R9CJ,Moses Frase,GTX Plus Basic,Finhigh,Won,2017-04-06,2017-05-22,1147.0,GTX,1096.0,finance,2006.0,1102.43,1759.0,United States,,Dustin Brinkmann,Central
I6ZWBDU6,Moses Frase,MG Advanced,Funholding,Won,2017-04-06,2017-06-12,3161.0,MG,3393.0,finance,1991.0,2819.5,7227.0,United States,Golddex,Dustin Brinkmann,Central
SQZ293C0,Moses Frase,GTX Plus Pro,Genco Pura Olive Oil Company,Won,2017-04-07,2017-04-13,4659.0,GTX,5482.0,retail,2007.0,894.33,1635.0,Italy,,Dustin Brinkmann,Central
AYIPNQFR,Moses Frase,MG Special,Genco Pura Olive Oil Company,Lost,2017-04-08,2017-04-10,0.0,MG,55.0,retail,2007.0,894.33,1635.0,Italy,,Dustin Brinkmann,Central
Y35ES8UY,Moses Frase,GTX Plus Pro,Condax,Lost,2017-04-09,2017-04-16,0.0,GTX,5482.0,medical,2017.0,4.54,9.0,United States,,Dustin Brinkmann,Central
JHIX3ODA,Moses Frase,MG Advanced,dambase,Lost,2017-04-11,2017-04-21,0.0,MG,3393.0,marketing,1995.0,2173.98,2928.0,United States,Inity,Dustin Brinkmann,Central
BPUE8GTU,Moses Frase,MG Special,Rundofase,Won,2017-04-11,2017-06-06,46.0,MG,55.0,technology,1983.0,1008.06,1238.0,United States,,Dustin Brinkmann,Central
8O03S3U3,Moses Frase,GTX Plus Pro,Conecom,Lost,2017-04-12,2017-04-22,0.0,GTX,5482.0,technology,2005.0,1520.66,1806.0,United States,,Dustin Brinkmann,Central
U9RFE81I,Moses Frase,MG Special,Warephase,Lost,2017-04-13,2017-08-16,0.0,MG,55.0,services,1997.0,2041.73,5276.0,United States,,Dustin Brinkmann,Central
3OBMD08T,Moses Frase,MG Advanced,Codehow,Lost,2017-04-15,2017-04-17,0.0,MG,3393.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,Dustin Brinkmann,Central
VKXZ36VE,Moses Frase,GTX Basic,Ron-tech,Lost,2017-04-16,2017-04-18,0.0,GTX,550.0,medical,1992.0,3922.42,6837.0,United States,,Dustin Brinkmann,Central
H5662N5X,Moses Frase,GTX Basic,Inity,Lost,2017-04-20,2017-04-22,0.0,GTX,550.0,marketing,1986.0,2403.58,8801.0,United States,,Dustin Brinkmann,Central
07BT6PBZ,Moses Frase,MG Special,Treequote,Won,2017-04-20,2017-05-02,58.0,MG,55.0,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,Dustin Brinkmann,Central
79DYTU8Y,Moses Frase,MG Special,Streethex,Won,2017-04-21,2017-05-06,60.0,MG,55.0,retail,1988.0,1376.8,1165.0,Belgium,,Dustin Brinkmann,Central
3AB31BUU,Moses Frase,GTX Plus Basic,Conecom,Won,2017-04-22,2017-04-27,1024.0,GTX,1096.0,technology,2005.0,1520.66,1806.0,United States,,Dustin Brinkmann,Central
8V4PEF5D,Moses Frase,MG Special,Funholding,Won,2017-04-23,2017-06-25,51.0,MG,55.0,finance,1991.0,2819.5,7227.0,United States,Golddex,Dustin Brinkmann,Central
NYLCZ28K,Moses Frase,MG Advanced,Treequote,Won,2017-04-26,2017-08-16,3025.0,MG,3393.0,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,Dustin Brinkmann,Central
UNSJJUY4,Moses Frase,GTX Basic,Warephase,Won,2017-04-28,2017-08-14,599.0,GTX,550.0,services,1997.0,2041.73,5276.0,United States,,Dustin Brinkmann,Central
FZ1TTF0X,Moses Frase,GTX Basic,Bioholding,Lost,2017-04-29,2017-05-31,0.0,GTX,550.0,medical,2012.0,587.34,1356.0,Philippines,,Dustin Brinkmann,Central
JQNSK78U,Moses Frase,GTX Plus Pro,Condax,Lost,2017-05-01,2017-05-10,0.0,GTX,5482.0,medical,2017.0,4.54,9.0,United States,,Dustin Brinkmann,Central
C3OOZUTI,Moses Frase,GTX Plus Pro,Warephase,Lost,2017-05-01,2017-05-07,0.0,GTX,5482.0,services,1997.0,2041.73,5276.0,United States,,Dustin Brinkmann,Central
FI0I7E73,Moses Frase,MG Advanced,Ron-tech,Won,2017-05-01,2017-05-08,3971.0,MG,3393.0,medical,1992.0,3922.42,6837.0,United States,,Dustin Brinkmann,Central
V9XJAZPC,Moses Frase,MG Advanced,Globex Corporation,Lost,2017-05-02,2017-05-10,0.0,MG,3393.0,technology,2000.0,1223.72,2497.0,Norway,,Dustin Brinkmann,Central
INI33ALF,Moses Frase,GTX Basic,Genco Pura Olive Oil Company,Won,2017-05-06,2017-05-22,569.0,GTX,550.0,retail,2007.0,894.33,1635.0,Italy,,Dustin Brinkmann,Central
TEKCKT3V,Moses Frase,GTX Plus Basic,Inity,Won,2017-05-07,2017-08-05,901.0,GTX,1096.0,marketing,1986.0,2403.58,8801.0,United States,,Dustin Brinkmann,Central
6KVOMBDJ,Moses Frase,MG Advanced,Rundofase,Lost,2017-05-08,2017-05-23,0.0,MG,3393.0,technology,1983.0,1008.06,1238.0,United States,,Dustin Brinkmann,Central
T8E8EDZS,Moses Frase,GTX Basic,Finhigh,Won,2017-05-10,2017-08-21,529.0,GTX,550.0,finance,2006.0,1102.43,1759.0,United States,,Dustin Brinkmann,Central
ZQVUQ5CJ,Moses Frase,GTX Basic,Treequote,Won,2017-05-11,2017-05-25,472.0,GTX,550.0,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,Dustin Brinkmann,Central
5YLCW6L5,Moses Frase,MG Special,Finhigh,Won,2017-05-12,2017-09-15,61.0,MG,55.0,finance,2006.0,1102.43,1759.0,United States,,Dustin Brinkmann,Central
BEKQZ411,Moses Frase,MG Special,Inity,Won,2017-05-19,2017-08-31,58.0,MG,55.0,marketing,1986.0,2403.58,8801.0,United States,,Dustin Brinkmann,Central
UF0S02A4,Moses Frase,MG Advanced,Inity,Lost,2017-05-21,2017-05-25,0.0,MG,3393.0,marketing,1986.0,2403.58,8801.0,United States,,Dustin Brinkmann,Central
ZG1DFNPW,Moses Frase,GTX Basic,Bioholding,Won,2017-05-21,2017-09-15,547.0,GTX,550.0,medical,2012.0,587.34,1356.0,Philippines,,Dustin Brinkmann,Central
7X1D49TU,Moses Frase,MG Special,Conecom,Lost,2017-05-25,2017-09-11,0.0,MG,55.0,technology,2005.0,1520.66,1806.0,United States,,Dustin Brinkmann,Central
C2RL3DUQ,Moses Frase,MG Advanced,Bioholding,Lost,2017-05-26,2017-08-09,0.0,MG,3393.0,medical,2012.0,587.34,1356.0,Philippines,,Dustin Brinkmann,Central
QPMZ5RG0,Moses Frase,MG Special,Streethex,Won,2017-05-31,2017-08-27,53.0,MG,55.0,retail,1988.0,1376.8,1165.0,Belgium,,Dustin Brinkmann,Central
AGZ87JFX,Moses Frase,GTX Basic,Rangreen,Lost,2017-06-01,2017-08-01,0.0,GTX,550.0,technology,1987.0,2938.67,8775.0,Panama,,Dustin Brinkmann,Central
9HLQVY37,Moses Frase,GTX Plus Basic,Konmatfix,Lost,2017-06-05,2017-06-11,0.0,GTX,1096.0,marketing,1985.0,375.43,1190.0,United States,,Dustin Brinkmann,Central
8C3LOLPY,Moses Frase,GTX Plus Basic,Ron-tech,Lost,2017-06-05,2017-08-14,0.0,GTX,1096.0,medical,1992.0,3922.42,6837.0,United States,,Dustin Brinkmann,Central
QMJHLT1V,Moses Frase,MG Special,Hottechi,Won,2017-06-05,2017-09-20,59.0,MG,55.0,technology,1997.0,8170.38,16499.0,South Korea,,Dustin Brinkmann,Central
VUYQCXTY,Moses Frase,GTX Plus Basic,Bioholding,Won,2017-06-09,2017-08-04,1017.0,GTX,1096.0,medical,2012.0,587.34,1356.0,Philippines,,Dustin Brinkmann,Central
YFJKP42F,Moses Frase,MG Advanced,Codehow,Won,2017-06-09,2017-06-27,3681.0,MG,3393.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,Dustin Brinkmann,Central
81LMZHD1,Moses Frase,GTX Plus Pro,Bioholding,Won,2017-06-17,2017-08-16,5018.0,GTX,5482.0,medical,2012.0,587.34,1356.0,Philippines,,Dustin Brinkmann,Central
DYUWF61W,Moses Frase,GTX Plus Pro,Warephase,Lost,2017-06-19,2017-06-28,0.0,GTX,5482.0,services,1997.0,2041.73,5276.0,United States,,Dustin Brinkmann,Central
NUNQGOUW,Moses Frase,MG Special,Statholdings,Won,2017-06-19,2017-09-04,57.0,MG,55.0,employment,1997.0,291.27,586.0,United States,,Dustin Brinkmann,Central
ZMYUFTS9,Moses Frase,MG Advanced,Domzoom,Won,2017-06-22,2017-08-16,3207.0,MG,3393.0,entertainment,1998.0,217.87,551.0,United States,,Dustin Brinkmann,Central
P60EK5NN,Moses Frase,MG Advanced,Zumgoity,Won,2017-06-22,2017-09-21,2739.0,MG,3393.0,medical,1984.0,441.08,1210.0,United States,,Dustin Brinkmann,Central
CM5MFWCO,Moses Frase,MG Special,Codehow,Won,2017-06-24,2017-09-10,63.0,MG,55.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,Dustin Brinkmann,Central
0MNAGD91,Moses Frase,MG Advanced,Betatech,Won,2017-06-24,2017-07-05,3355.0,MG,3393.0,medical,1986.0,647.18,1185.0,Kenya,,Dustin Brinkmann,Central
40VSPND6,Moses Frase,MG Advanced,Rangreen,Won,2017-06-25,2017-09-24,3679.0,MG,3393.0,technology,1987.0,2938.67,8775.0,Panama,,Dustin Brinkmann,Central
WPTNE0QN,Moses Frase,GTX Basic,Streethex,Won,2017-06-26,2017-09-17,533.0,GTX,550.0,retail,1988.0,1376.8,1165.0,Belgium,,Dustin Brinkmann,Central
CGEXH2QO,Moses Frase,GTX Plus Pro,Finhigh,Lost,2017-06-27,2017-07-08,0.0,GTX,5482.0,finance,2006.0,1102.43,1759.0,United States,,Dustin Brinkmann,Central
MIX6JTSN,Moses Frase,GTX Basic,Statholdings,Won,2017-06-27,2017-07-05,541.0,GTX,550.0,employment,1997.0,291.27,586.0,United States,,Dustin Brinkmann,Central
X2ZONP2D,Moses Frase,GTX Plus Pro,Betatech,Lost,2017-06-28,2017-08-24,0.0,GTX,5482.0,medical,1986.0,647.18,1185.0,Kenya,,Dustin Brinkmann,Central
Y5CP83V4,Moses Frase,GTX Basic,Isdom,Won,2017-06-28,2017-09-30,530.0,GTX,550.0,medical,2002.0,3178.24,4540.0,United States,,Dustin Brinkmann,Central
G087QT6R,Moses Frase,MG Advanced,Rundofase,Won,2017-06-29,2017-07-06,3676.0,MG,3393.0,technology,1983.0,1008.06,1238.0,United States,,Dustin Brinkmann,Central
Q7C5MJ4W,Moses Frase,GTX Basic,Condax,Lost,2017-06-30,2017-11-01,0.0,GTX,550.0,medical,2017.0,4.54,9.0,United States,,Dustin Brinkmann,Central
WXCEZ7JY,Moses Frase,GTX Basic,Conecom,Won,2017-07-03,2017-09-06,376.0,GTX,550.0,technology,2005.0,1520.66,1806.0,United States,,Dustin Brinkmann,Central
QE6A49LE,Moses Frase,MG Special,Hottechi,Lost,2017-07-04,2017-07-11,0.0,MG,55.0,technology,1997.0,8170.38,16499.0,South Korea,,Dustin Brinkmann,Central
XGMMHWZC,Moses Frase,GTX Basic,Domzoom,Won,2017-07-04,2017-09-25,475.0,GTX,550.0,entertainment,1998.0,217.87,551.0,United States,,Dustin Brinkmann,Central
7MK55ULJ,Moses Frase,GTX Plus Basic,Ron-tech,Won,2017-07-04,2017-07-05,1102.0,GTX,1096.0,medical,1992.0,3922.42,6837.0,United States,,Dustin Brinkmann,Central
0VZIDVCC,Moses Frase,MG Special,Zumgoity,Won,2017-07-04,2017-07-09,55.0,MG,55.0,medical,1984.0,441.08,1210.0,United States,,Dustin Brinkmann,Central
XTBADYHW,Moses Frase,MG Special,Toughzap,Lost,2017-07-06,2017-07-17,0.0,MG,55.0,retail,1995.0,332.43,799.0,United States,,Dustin Brinkmann,Central
PPDU7OWD,Moses Frase,MG Advanced,Stanredtax,Lost,2017-07-06,2017-07-13,0.0,MG,3393.0,finance,1987.0,1698.2,3798.0,United States,,Dustin Brinkmann,Central
KD27RNU9,Moses Frase,GTX Basic,Scottech,Lost,2017-07-07,2017-07-15,0.0,GTX,550.0,marketing,2012.0,45.39,100.0,United States,Inity,Dustin Brinkmann,Central
E6D2DBXF,Moses Frase,MG Advanced,Ron-tech,Lost,2017-07-09,2017-07-13,0.0,MG,3393.0,medical,1992.0,3922.42,6837.0,United States,,Dustin Brinkmann,Central
OUMM04QV,Moses Frase,GTX Plus Pro,Warephase,Won,2017-07-09,2017-07-18,4651.0,GTX,5482.0,services,1997.0,2041.73,5276.0,United States,,Dustin Brinkmann,Central
2HVDAY4L,Moses Frase,MG Special,Cancity,Lost,2017-07-10,2017-07-21,0.0,MG,55.0,retail,2001.0,718.62,2448.0,United States,,Dustin Brinkmann,Central
0FGWN6O0,Moses Frase,GTX Basic,Isdom,Won,2017-07-10,2017-07-19,588.0,GTX,550.0,medical,2002.0,3178.24,4540.0,United States,,Dustin Brinkmann,Central
V9WVYEE9,Moses Frase,GTX Plus Pro,Codehow,Lost,2017-07-12,2017-07-20,0.0,GTX,5482.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,Dustin Brinkmann,Central
NPHD3ZTC,Moses Frase,GTX Basic,Rangreen,Won,2017-07-16,2017-09-03,574.0,GTX,550.0,technology,1987.0,2938.67,8775.0,Panama,,Dustin Brinkmann,Central
RSP75BOI,Moses Frase,GTX Plus Pro,Streethex,Lost,2017-07-18,2017-07-19,0.0,GTX,5482.0,retail,1988.0,1376.8,1165.0,Belgium,,Dustin Brinkmann,Central
CKDPWHTZ,Moses Frase,GTX Basic,Genco Pura Olive Oil Company,Won,2017-07-18,2017-07-28,563.0,GTX,550.0,retail,2007.0,894.33,1635.0,Italy,,Dustin Brinkmann,Central
BKOWQMMV,Moses Frase,GTX Basic,No Acct Name Entered,Engaging,2017-07-19,,,GTX,550.0,,,,,,,Dustin Brinkmann,Central
6TOOTFQV,Moses Frase,MG Advanced,Bioholding,Won,2017-07-19,2017-07-27,3985.0,MG,3393.0,medical,2012.0,587.34,1356.0,Philippines,,Dustin Brinkmann,Central
3JW6CZ7K,Moses Frase,GTX Basic,No Acct Name Entered,Engaging,2017-07-20,,,GTX,550.0,,,,,,,Dustin Brinkmann,Central
F3EOBN5A,Moses Frase,GTX Plus Pro,Genco Pura Olive Oil Company,Engaging,2017-07-20,,,GTX,5482.0,retail,2007.0,894.33,1635.0,Italy,,Dustin Brinkmann,Central
GE4QGOCI,Moses Frase,MG Special,No Acct Name Entered,Engaging,2017-07-21,,,MG,55.0,,,,,,,Dustin Brinkmann,Central
P5B6BZWO,Moses Frase,GTX Basic,Finhigh,Won,2017-07-21,2017-07-30,526.0,GTX,550.0,finance,2006.0,1102.43,1759.0,United States,,Dustin Brinkmann,Central
AWCGYWTE,Moses Frase,MG Special,Kinnamplus,Engaging,2017-07-22,,,MG,55.0,retail,2004.0,702.72,1831.0,United States,,Dustin Brinkmann,Central
UJTU7DUB,Moses Frase,MG Special,No Acct Name Entered,Engaging,2017-07-22,,,MG,55.0,,,,,,,Dustin Brinkmann,Central
JOLNKYNH,Moses Frase,MG Advanced,No Acct Name Entered,Engaging,2017-07-22,,,MG,3393.0,,,,,,,Dustin Brinkmann,Central
TV2M081C,Moses Frase,MG Advanced,No Acct Name Entered,Engaging,2017-07-22,,,MG,3393.0,,,,,,,Dustin Brinkmann,Central
SJGOQMLT,Moses Frase,MG Advanced,No Acct Name Entered,Engaging,2017-07-22,,,MG,3393.0,,,,,,,Dustin Brinkmann,Central
BG156UAV,Moses Frase,MG Advanced,Condax,Lost,2017-07-22,2017-07-23,0.0,MG,3393.0,medical,2017.0,4.54,9.0,United States,,Dustin Brinkmann,Central
S7T5AHQH,Moses Frase,GTX Plus Basic,Stanredtax,Won,2017-07-22,2017-07-23,1174.0,GTX,1096.0,finance,1987.0,1698.2,3798.0,United States,,Dustin Brinkmann,Central
EYBMEX1Z,Moses Frase,GTX Basic,No Acct Name Entered,Engaging,2017-07-23,,,GTX,550.0,,,,,,,Dustin Brinkmann,Central
T0MUE2H7,Moses Frase,MG Special,Statholdings,Lost,2017-07-23,2017-08-06,0.0,MG,55.0,employment,1997.0,291.27,586.0,United States,,Dustin Brinkmann,Central
